base_currency_short_name,target_currency_short_name,binance_currency_pair_name,inr_conversion_charge,coindcx_name,target_currency_name,base_currency_name,step,min_quantity,symbol,ecode,max_leverage,max_leverage_short,pair
BNB,BCPT,BCPTBNB,,BCPTBNB,BlockMason Credit Protocol,Binance Coin,1,1,BCPTBNB,B,,,B-BCPT_BNB
ETH,LEND,LENDETH,,LENDETH,ETHLend,Ethereum,1,1,LENDETH,B,4,,B-LEND_ETH
BTC,CTXC,CTXCBTC,,CTXCBTC,Cortex,Bitcoin,0.01,1,CTXCBTC,H,,,H-CTXC_BTC
XRP,XZC,XZCXRP,,XZCXRP,ZCoin,Ripple,0.001,0.001,XZCXRP,B,4,,B-XZC_XRP
ETH,ARK,ARKETH,,ARKETH,Ark,Ethereum,0.01,0.01,ARKETH,B,5,,B-ARK_ETH
ETH,GTO,GTOETH,,GTOETH,Gifto,Ethereum,1,1,GTOETH,B,3,,B-GTO_ETH
INR,TRX,TRXINR,,TRXINR,Tron,Indian Rupee,1,1,TRXINR,B,,,B-TRX_INR
ETH,POE,POEETH,,POEETH,Po.et,Ethereum,1,1,POEETH,B,5,,B-POE_ETH
TUSD,ATOM,ATOMTUSD,,ATOMTUSD,Cosmos,True USD,0.001,0.001,ATOMTUSD,B,,,B-ATOM_TUSD
INR,DNT,DNTINR,,DNTINR,district0x,Indian Rupee,1,1,DNTINR,B,,,B-DNT_INR
ETH,TUSD,TUSDETH,,TUSDETH,True USD,Ethereum,1,1,TUSDETH,B,5,,B-TUSD_ETH
ETH,SKY,SKYETH,,SKYETH,Skycoin,Ethereum,0.001,0.001,SKYETH,B,5,,B-SKY_ETH
USDC,XLM,XLMUSDC,,XLMUSDC,Stellar Lumens,USD Coin,0.1,0.1,XLMUSDC,B,,,B-XLM_USDC
USDT,GTO,GTOUSDT,,GTOUSDT,Gifto,Tether,0.1,0.1,GTOUSDT,B,,,B-GTO_USDT
USDT,WNXM,WNXMUSDT,,WNXMUSDT,Wrapped NXM,Tether,0.001,0.001,WNXMUSDT,B,2,,B-WNXM_USDT
BTC,HNT,HNTBTC,,HNTBTC,Helium,Bitcoin,0.01,0.01,HNTBTC,B,,,B-HNT_BTC
USDT,DASH,DASHUSDT,,DASHUSDT,Dash,Tether,1.00E-05,1.00E-05,DASHUSDT,B,4,,B-DASH_USDT
USDT,WRX,WRXUSDT,,WRXUSDT,Wazirx Token,Tether,0.1,0.1,WRXUSDT,B,2,2,B-WRX_USDT
BTC,DGB,DGBBTC,,DGBBTC,DigiByte,Bitcoin,1,1,DGBBTC,B,,,B-DGB_BTC
ETH,XEM,XEMETH,,XEMETH,NEM,Ethereum,1,1,XEMETH,B,2,,B-XEM_ETH
ETH,BRD,BRDETH,,BRDETH,Bread,Ethereum,1,1,BRDETH,B,1,,B-BRD_ETH
USDT,RUNE,RUNEUSDT,,RUNEUSDT,THORChain,Tether,0.01,0.01,RUNEUSDT,B,2,,B-RUNE_USDT
BTC,PERL,PERLBTC,,PERLBTC,Perlin,Bitcoin,1,1,PERLBTC,B,1,2,B-PERL_BTC
BNB,SOL,SOLBNB,,SOLBNB,Solana,Binance Coin,0.1,0.1,SOLBNB,B,1,,B-SOL_BNB
BTC,SAND,SANDBTC,,SANDBTC,The Sandbox,Bitcoin,1,1,SANDBTC,B,,,B-SAND_BTC
BTC,IOST,IOSTBTC,,IOSTBTC,IOSToken,Bitcoin,1,1,IOSTBTC,B,4,2,B-IOST_BTC
BTC,BQX,BQXBTC,,BQXBTC,Voyager,Bitcoin,1,1,BQXBTC,B,1,,B-BQX_BTC
USDT,KEY,KEYUSDT,,KEYUSDT,Selfkey,Tether,1,1,KEYUSDT,B,2,,B-KEY_USDT
USDT,EGLD,EGLDUSDT,,EGLDUSDT,Elrond eGold,Tether,0.001,0.001,EGLDUSDT,B,5,,B-EGLD_USDT
BTC,XMR,XMRBTC,,XMRBTC,Monero,Bitcoin,0.001,0.001,XMRBTC,B,5,2,B-XMR_BTC
BNB,COTI,COTIBNB,,COTIBNB,COTI,Binance Coin,1,1,COTIBNB,B,1,,B-COTI_BNB
USDT,BAT,BATUSDT,,BATUSDT,Basic Attention Token,Tether,0.01,0.01,BATUSDT,B,4,2,B-BAT_USDT
BTC,NAV,NAVBTC,,NAVBTC,NavCoin,Bitcoin,1,1,NAVBTC,B,1,,B-NAV_BTC
BTC,RDN,RDNBTC,,RDNBTC,Raiden Network Token,Bitcoin,1,1,RDNBTC,B,1,,B-RDN_BTC
USDT,SAND,SANDUSDT,,SANDUSDT,The Sandbox,Tether,1,1,SANDUSDT,B,,,B-SAND_USDT
BNB,SC,SCBNB,,SCBNB,Siacoin,Binance Coin,1,1,SCBNB,B,,,B-SC_BNB
TUSD,BNB,BNBTUSD,,BNBTUSD,Binance Coin,True USD,0.01,0.01,BNBTUSD,B,,,B-BNB_TUSD
BTC,NEO,NEOBTC,,NEOBTC,NEO,Bitcoin,0.01,0.01,NEOBTC,B,4,2,B-NEO_BTC
USDT,COCOS,COCOSUSDT,,COCOSUSDT,Cocos-BCX,Tether,0.01,0.01,COCOSUSDT,B,1,,B-COCOS_USDT
BTC,BCPT,BCPTBTC,,BCPTBTC,BlockMason Credit Protocol,Bitcoin,1,1,BCPTBTC,B,1,,B-BCPT_BTC
BTC,ZEN,ZENBTC,,ZENBTC,Horizen,Bitcoin,0.01,0.01,ZENBTC,B,2,,B-ZEN_BTC
BTC,RVN,RVNBTC,,RVNBTC,Ravencoin,Bitcoin,1,1,RVNBTC,B,2,2,B-RVN_BTC
BNB,NMR,NMRBNB,,NMRBNB,Numeraire,Binance Coin,0.01,0.01,NMRBNB,B,,,B-NMR_BNB
USDT,VET,VETUSDT,,VETUSDT,VeChain,Tether,1,1,VETUSDT,B,6,,B-VET_USDT
BTC,XTZ,XTZBTC,,XTZBTC,Tezos,Bitcoin,0.01,0.01,XTZBTC,B,4,2,B-XTZ_BTC
ETH,XRP,XRPETH,,XRPETH,Ripple,Ethereum,1,1,XRPETH,B,4,2,B-XRP_ETH
BTC,BAL,BALBTC,,BALBTC,Balancer,Bitcoin,0.01,0.01,BALBTC,B,2,,B-BAL_BTC
USDT,STORM,STORMUSDT,,STORMUSDT,Storm,Tether,1,1,STORMUSDT,B,4,,B-STORM_USDT
USDT,HB10,HB10USDT,,HB10USDT,HB10 (Index),Tether,0.0001,0.1,HB10USDT,H,,,H-HB10_USDT
ETH,MTH,MTHETH,,MTHETH,Monetha,Ethereum,1,1,MTHETH,B,5,,B-MTH_ETH
ETH,SUB,SUBETH,,SUBETH,Substratum,Ethereum,1,1,SUBETH,B,5,,B-SUB_ETH
BTC,WIN,WINBTC,,WINBTC,WINK,Bitcoin,1,1,WINBTC,B,1,,B-WIN_BTC
ETH,BCD,BCDETH,,BCDETH,Bitcoin Diamond,Ethereum,0.001,0.001,BCDETH,B,5,,B-BCD_ETH
BNB,FLM,FLMBNB,,FLMBNB,Flamingo,Binance Coin,0.1,0.1,FLMBNB,B,,,B-FLM_BNB
ETH,NXS,NXSETH,,NXSETH,Nexus,Ethereum,0.01,0.01,NXSETH,B,3,,B-NXS_ETH
BTC,KEY,KEYBTC,,KEYBTC,Selfkey,Bitcoin,1,1,KEYBTC,B,4,,B-KEY_BTC
BNB,ONG,ONGBNB,,ONGBNB,Ontology Gas,Binance Coin,0.1,0.1,ONGBNB,B,,,B-ONG_BNB
BTC,MFT,MFTBTC,,MFTBTC,Mainframe,Bitcoin,1,1,MFTBTC,B,2,,B-MFT_BTC
ETH,INS,INSETH,,INSETH,Insolar,Ethereum,0.01,0.01,INSETH,B,3,,B-INS_ETH
BNB,XEM,XEMBNB,,XEMBNB,NEM,Binance Coin,1,1,XEMBNB,B,,,B-XEM_BNB
BNB,RDN,RDNBNB,,RDNBNB,Raiden Network Token,Binance Coin,0.1,0.1,RDNBNB,B,,,B-RDN_BNB
USDT,XZC,XZCUSDT,,XZCUSDT,ZCoin,Tether,0.001,0.001,XZCUSDT,B,,,B-XZC_USDT
BTC,CKB,CKBBTC,,CKBBTC,Nervos,Bitcoin,0.01,1,CKBBTC,H,,,H-CKB_BTC
BTC,CMT,CMTBTC,,CMTBTC,CyberMiles,Bitcoin,1,1,CMTBTC,B,1,,B-CMT_BTC
BTC,LINK,LINKBTC,,LINKBTC,Chainlink,Bitcoin,0.1,0.1,LINKBTC,B,6,2,B-LINK_BTC
BTC,WABI,WABIBTC,,WABIBTC,WaBi,Bitcoin,1,1,WABIBTC,B,1,,B-WABI_BTC
BTC,WRX,WRXBTC,,WRXBTC,Wazirx Token,Bitcoin,1,1,WRXBTC,B,1,2,B-WRX_BTC
BTC,STPT,STPTBTC,,STPTBTC,STP Network,Bitcoin,1,1,STPTBTC,B,1,,B-STPT_BTC
BTC,BEL,BELBTC,,BELBTC,Bella Protocol,Bitcoin,1,1,BELBTC,B,2,,B-BEL_BTC
ETH,FIRO,FIROETH,,FIROETH,Firo,Ethereum,0.01,0.01,FIROETH,B,,,B-FIRO_ETH
BTC,DOT,DOTBTC,,DOTBTC,Polkadot,Bitcoin,0.1,0.1,DOTBTC,B,6,2,B-DOT_BTC
BTC,ARDR,ARDRBTC,,ARDRBTC,Ardor,Bitcoin,1,1,ARDRBTC,B,1,,B-ARDR_BTC
BTC,CVC,CVCBTC,,CVCBTC,Civic,Bitcoin,1,1,CVCBTC,B,4,,B-CVC_BTC
BTC,SNGLS,SNGLSBTC,,SNGLSBTC,Singular DTV,Bitcoin,1,1,SNGLSBTC,B,1,,B-SNGLS_BTC
BTC,OXT,OXTBTC,,OXTBTC,Orchid,Bitcoin,1,1,OXTBTC,B,1,,B-OXT_BTC
BTC,FLM,FLMBTC,,FLMBTC,Flamingo,Bitcoin,1,1,FLMBTC,B,,,B-FLM_BTC
BTC,BEAM,BEAMBTC,,BEAMBTC,BEAM,Bitcoin,0.01,0.01,BEAMBTC,B,1,,B-BEAM_BTC
USDT,STPT,STPTUSDT,,STPTUSDT,STP Network,Tether,0.1,0.1,STPTUSDT,B,1,,B-STPT_USDT
BTC,BCD,BCDBTC,,BCDBTC,Bitcoin Diamond,Bitcoin,1,1,BCDBTC,B,1,,B-BCD_BTC
BTC,GVT,GVTBTC,,GVTBTC,Genesis Vision,Bitcoin,0.01,0.01,GVTBTC,B,1,,B-GVT_BTC
BNB,STMX,STMXBNB,,STMXBNB,StormX,Binance Coin,1,1,STMXBNB,B,,,B-STMX_BNB
BTC,TFUEL,TFUELBTC,,TFUELBTC,Theta Fuel,Bitcoin,1,1,TFUELBTC,B,4,2,B-TFUEL_BTC
USDT,CHR,CHRUSDT,,CHRUSDT,Chromia,Tether,0.1,0.1,CHRUSDT,B,2,2,B-CHR_USDT
BTC,WPR,WPRBTC,,WPRBTC,WePower,Bitcoin,1,1,WPRBTC,B,1,,B-WPR_BTC
BTC,THETA,THETABTC,,THETABTC,Theta Token,Bitcoin,1,1,THETABTC,B,4,2,B-THETA_BTC
USDT,USDC,USDCUSDT,,USDCUSDT,USD Coin,Tether,0.01,0.01,USDCUSDT,B,6,,B-USDC_USDT
USDT,REP,REPUSDT,,REPUSDT,Augur,Tether,0.001,0.001,REPUSDT,B,,,B-REP_USDT
BNB,IOTA,IOTABNB,,IOTABNB,IOTA,Binance Coin,0.1,0.1,IOTABNB,B,,,B-IOTA_BNB
BTC,FTM,FTMBTC,,FTMBTC,Fantom,Bitcoin,1,1,FTMBTC,B,2,,B-FTM_BTC
BNB,CTSI,CTSIBNB,,CTSIBNB,Cartesi,Binance Coin,1,1,CTSIBNB,B,1,,B-CTSI_BNB
ETH,BLZ,BLZETH,,BLZETH,Bluzelle,Ethereum,1,1,BLZETH,B,1,,B-BLZ_ETH
USDT,STMX,STMXUSDT,,STMXUSDT,StormX,Tether,1,1,STMXUSDT,B,4,,B-STMX_USDT
BTC,CHZ,CHZBTC,,CHZBTC,Chiliz,Bitcoin,1,1,CHZBTC,B,2,,B-CHZ_BTC
